"kooskolastaja";"tahtaeg";"vastamisaeg";"markused";"aktinimi";"link"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 05.05.2016 23:59";"Edastatud";"";"Keskkonnaministri 31.01.2005 määruse nr 4 „Bensiini veo ja bensiini terminalides ning tanklates hoidmise nõuded lenduvate orgaaniliste ühendite heitkoguste piiramise eesmärgil“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/52a562c8-8f58-4adf-979f-1aa71950b7ff?activity=1"
"Rahandusministeerium";"Tähtaeg: 17.05.2016 23:59";"Edastatud";"";"„Eesti maaelu arengukava 2014–2020” muudatusettepanekute heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/87619073-012e-4f6e-8937-f9aaec39152f?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 17.05.2016 23:59";"Edastatud";"";"„Eesti maaelu arengukava 2014–2020” muudatusettepanekute heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/87619073-012e-4f6e-8937-f9aaec39152f?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 17.05.2016 23:59";"Edastatud";"";"„Eesti maaelu arengukava 2014–2020” muudatusettepanekute heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/87619073-012e-4f6e-8937-f9aaec39152f?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 16.05.2016 23:59";"Edastatud";"";"Põllumajandusministri 14. jaanuari 2015. a määruse nr 5 „Kalapüügi- ja vesiviljelustoodete liikide tootenimetuste loetelu” muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/4fd8210c-9950-4fb4-b861-5da99d2e2047?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 16.05.2016 23:59";"Edastatud";"";"Põllumajandusministri 14. jaanuari 2015. a määruse nr 5 „Kalapüügi- ja vesiviljelustoodete liikide tootenimetuste loetelu” muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/4fd8210c-9950-4fb4-b861-5da99d2e2047?activity=1"
"Kaitseministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Haridus- ja Teadusministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Rahandusministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Maaeluministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Kultuuriministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Sotsiaalministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Siseministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 31.05.2016 23:59";"Edastatud";"";"Tehnovõrkude talumistasu seadus";"https://eelnoud.valitsus.ee/main/mount/docList/ee2b2493-588d-4535-a3b3-319666b62012?activity=1"
